id;count
ZU;4023467
MI;3222374
CA;2515506
DF;2237710
LA;2019211
AR;1876470
BO;1824190
AN;1768329
TA;1308108
SU;1081017
FA;1029638
PO;1012781
MO;998024
ME;991971
BA;901129
GU;870951
TR;807988
YA;693876
AP;587056
NE;552011
CO;348022
DA;187022
AM;178670
DP;6500
