category;count
Michael Phelps;22
Natalie Coughlin;12
Ryan Lochte;11
Ian Thorpe;9
Leisel Jones;9
Ole Einar Bjørndalen;9
Apolo Anton Ohno;8
Dara Torres;8
Inge de Bruijn;8
Jason Lezak;8
Katalin Kovács;8
Aaron Peirsol;7
Bradley Wiggins;7
Chris Hoy;7
Felix Gottwald;7
Grant Hackett;7
Kati Wilhelm;7
Kirsty Coventry;7
Kosuke Kitajima;7
Libby Lenton-Trickett;7
