category;count
2010/South Korea;18
2010/Sweden;18
2010/Switzerland;12
2010/United States;97
2012/Afghanistan;1
2012/Algeria;1
2012/Argentina;21
2012/Armenia;3
2012/Australia;114
2012/Azerbaijan;10
2012/Bahamas;4
2012/Bahrain;1
2012/Belarus;23
2012/Belgium;3
2012/Botswana;1
2012/Brazil;59
2012/Bulgaria;2
2012/Canada;55
2012/China;125
2012/Chinese Taipei;2
2012/Colombia;8
2012/Croatia;35
2012/Cuba;14
2012/Cyprus;1
2012/Czech Republic;14
2012/Denmark;16
2012/Dominican Republic;2
2012/Egypt;2
2012/Estonia;2
2012/Ethiopia;7
2012/Finland;5
2012/France;78
2012/Gabon;1
2012/Georgia;7
2012/Germany;94
2012/Great Britain;126
2012/Greece;3
2012/Grenada;1
2012/Guatemala;1
2012/Hong Kong;1
2012/Hungary;25
2012/India;6
2012/Indonesia;2
2012/Iran;12
2012/Ireland;5
2012/Italy;68
2012/Jamaica;25
2012/Japan;84
2012/Kazakhstan;13
2012/Kenya;11
2012/Kuwait;1
2012/Latvia;3
2012/Lithuania;5
2012/Malaysia;2
2012/Mexico;24
2012/Moldova;2
2012/Mongolia;5
2012/Montenegro;14
2012/Morocco;1
2012/Netherlands;69
2012/New Zealand;27
2012/North Korea;6
2012/Norway;17
2012/Poland;12
2012/Portugal;2
2012/Puerto Rico;2
2012/Qatar;2
2012/Romania;16
2012/Russia;140
2012/Saudi Arabia;4
2012/Serbia;16
2012/Singapore;4
2012/Slovakia;5
2012/Slovenia;5
2012/South Africa;9
2012/South Korea;61
2012/Spain;64
2012/Sweden;22
2012/Switzerland;4
2012/Tajikistan;1
2012/Thailand;3
2012/Trinidad and Tobago;10
2012/Tunisia;3
2012/Turkey;5
2012/Uganda;1
2012/Ukraine;26
2012/United States;254
2012/Uzbekistan;4
2012/Venezuela;1
