category;count
24/Ski Jumping;9
24/Snowboarding;8
24/Softball;19
24/Speed Skating;8
24/Swimming;82
24/Synchronized Swimming;8
24/Table Tennis;16
24/Taekwondo;14
24/Tennis;3
24/Trampoline;1
24/Triathlon;1
24/Volleyball;21
24/Waterpolo;30
24/Weightlifting;18
24/Wrestling;29
25/Alpine Skiing;9
25/Archery;3
25/Athletics;71
25/Badminton;15
25/Baseball;11
25/Basketball;18
25/Beach Volleyball;3
25/Biathlon;7
25/Bobsleigh;4
25/Boxing;16
25/Canoeing;31
25/Cross Country Skiing;12
25/Curling;3
25/Cycling;29
25/Diving;13
25/Equestrian;4
25/Fencing;23
25/Figure Skating;2
25/Football;18
25/Freestyle Skiing;4
25/Gymnastics;7
25/Handball;23
25/Hockey;34
25/Ice Hockey;33
25/Judo;26
25/Luge;1
25/Modern Pentathlon;3
25/Nordic Combined;1
25/Rhythmic Gymnastics;2
25/Rowing;57
25/Sailing;12
25/Shooting;7
25/Short-Track Speed Skating;14
25/Skeleton;2
25/Ski Jumping;2
25/Snowboarding;2
25/Softball;5
25/Speed Skating;10
25/Swimming;65
25/Synchronized Swimming;23
25/Table Tennis;6
25/Taekwondo;13
25/Tennis;9
25/Trampoline;1
25/Triathlon;1
25/Volleyball;32
25/Waterpolo;29
25/Weightlifting;18
25/Wrestling;29
26/Alpine Skiing;8
26/Archery;8
26/Athletics;76
26/Badminton;8
26/Baseball;13
26/Basketball;27
26/Biathlon;7
26/Bobsleigh;1
26/Boxing;20
26/Canoeing;34
26/Cross Country Skiing;4
26/Curling;6
26/Cycling;27
26/Diving;21
26/Equestrian;4
26/Fencing;25
26/Figure Skating;2
26/Football;21
26/Freestyle Skiing;3
26/Gymnastics;11
26/Handball;29
26/Hockey;43
26/Ice Hockey;26
26/Judo;26
26/Luge;2
26/Modern Pentathlon;3
26/Nordic Combined;5
26/Rowing;54
26/Sailing;14
26/Shooting;9
26/Short-Track Speed Skating;9
26/Skeleton;1
26/Ski Jumping;1
26/Snowboarding;3
26/Softball;16
26/Speed Skating;10
26/Swimming;39
26/Synchronized Swimming;9
26/Table Tennis;5
26/Taekwondo;10
26/Tennis;10
26/Trampoline;4
26/Triathlon;1
26/Volleyball;23
26/Waterpolo;35
26/Weightlifting;19
26/Wrestling;33
27/Alpine Skiing;8
27/Archery;8
27/Athletics;66
27/Badminton;12
27/Baseball;15
27/Basketball;31
27/Beach Volleyball;7
27/Biathlon;10
27/Bobsleigh;7
27/Boxing;8
27/Canoeing;23
27/Cross Country Skiing;13
27/Curling;5
27/Cycling;19
27/Diving;5
27/Equestrian;8
27/Fencing;17
27/Figure Skating;5
27/Football;20
27/Freestyle Skiing;7
