id;count
UKC;9.2
UKD;8.3
UKE;8.5
UKF;7.1
UKG;9.7
UKH;6.2
UKI;8.9
UKJ;5.8
UKK;6.1
UKL;8.1
UKM;6.9
UKN;6.5
