category;count
Cycling/Mexico;1
Cycling/Netherlands;12
Cycling/New Zealand;14
Cycling/Norway;2
Cycling/Poland;1
Cycling/Portugal;1
Cycling/Russia;15
Cycling/Spain;15
Cycling/Sweden;2
Cycling/Switzerland;10
Cycling/Ukraine;6
Cycling/United States;18
Cycling/Uruguay;1
Diving/Australia;17
Diving/Canada;12
Diving/China;55
Diving/Germany;9
Diving/Great Britain;3
Diving/Greece;2
Diving/Malaysia;1
Diving/Mexico;8
Diving/Russia;25
Diving/Ukraine;4
Diving/United States;8
Equestrian/Australia;10
Equestrian/Brazil;5
Equestrian/Canada;5
Equestrian/Denmark;3
Equestrian/France;5
Equestrian/Germany;40
Equestrian/Great Britain;31
Equestrian/Ireland;1
Equestrian/Netherlands;21
Equestrian/New Zealand;6
Equestrian/Saudi Arabia;5
Equestrian/Spain;5
Equestrian/Sweden;6
Equestrian/Switzerland;9
Equestrian/United States;30
Fencing/China;23
Fencing/Cuba;3
Fencing/Egypt;1
Fencing/France;36
Fencing/Germany;22
Fencing/Hungary;9
Fencing/Italy;57
Fencing/Japan;5
Fencing/Norway;1
Fencing/Poland;9
Fencing/Romania;7
Fencing/Russia;32
Fencing/South Korea;18
Fencing/Spain;1
Fencing/Switzerland;5
Fencing/Ukraine;7
Fencing/United States;19
Fencing/Venezuela;1
Figure Skating/Canada;6
Figure Skating/China;10
Figure Skating/France;2
Figure Skating/Germany;2
Figure Skating/Italy;2
Figure Skating/Japan;3
Figure Skating/Russia;16
Figure Skating/South Korea;1
Figure Skating/Switzerland;1
Figure Skating/Ukraine;2
Figure Skating/United States;9
Football/Argentina;34
Football/Brazil;70
Football/Cameroon;18
Football/Canada;18
Football/Chile;17
Football/Germany;50
Football/Italy;17
Football/Japan;18
Football/Mexico;16
Football/Nigeria;16
Football/Norway;17
Football/Paraguay;17
Football/South Korea;18
Football/Spain;17
Football/United States;64
Freestyle Skiing/Australia;5
Freestyle Skiing/Austria;1
Freestyle Skiing/Belarus;3
Freestyle Skiing/Canada;6
Freestyle Skiing/China;5
Freestyle Skiing/Czech Republic;1
Freestyle Skiing/Finland;2
Freestyle Skiing/France;3
Freestyle Skiing/Japan;1
Freestyle Skiing/Norway;4
Freestyle Skiing/Russia;1
Freestyle Skiing/Switzerland;2
Freestyle Skiing/United States;8
Gymnastics/Brazil;1
Gymnastics/Bulgaria;4
Gymnastics/Canada;1
Gymnastics/China;51
Gymnastics/Croatia;1
Gymnastics/France;6
Gymnastics/Germany;5
Gymnastics/Great Britain;9
Gymnastics/Greece;2
Gymnastics/Hungary;2
Gymnastics/Italy;3
Gymnastics/Japan;23
Gymnastics/Latvia;2
Gymnastics/Netherlands;1
Gymnastics/North Korea;1
Gymnastics/Poland;2
Gymnastics/Romania;45
Gymnastics/Russia;47
Gymnastics/South Korea;6
Gymnastics/Spain;4
Gymnastics/Ukraine;10
Gymnastics/United States;55
Gymnastics/Uzbekistan;1
Handball/Croatia;30
Handball/Denmark;30
Handball/France;30
Handball/Germany;15
Handball/Hungary;15
Handball/Iceland;14
Handball/Montenegro;14
Handball/Norway;43
Handball/Russia;43
Handball/South Korea;29
Handball/Spain;44
Handball/Sweden;29
Handball/Ukraine;15
Hockey/Argentina;65
Hockey/Australia;81
Hockey/China;16
Hockey/Germany;65
Hockey/Great Britain;16
Hockey/Netherlands;113
Hockey/South Korea;16
Hockey/Spain;16
Ice Hockey/Canada;105
Ice Hockey/Czech Republic;24
Ice Hockey/Finland;64
Ice Hockey/Russia;21
Ice Hockey/Sweden;64
Ice Hockey/United States;106
Judo/Algeria;2
Judo/Argentina;1
Judo/Australia;1
Judo/Austria;2
Judo/Azerbaijan;2
Judo/Belarus;2
Judo/Belgium;4
Judo/Brazil;11
Judo/Bulgaria;1
Judo/Canada;2
Judo/China;15
Judo/Colombia;1
Judo/Cuba;20
Judo/Egypt;1
Judo/Estonia;3
Judo/France;18
Judo/Georgia;5
Judo/Germany;10
Judo/Great Britain;3
Judo/Greece;2
Judo/Hungary;2
Judo/Israel;1
Judo/Italy;7
Judo/Japan;32
Judo/Kazakhstan;1
Judo/Kyrgyzstan;1
Judo/Latvia;1
Judo/Mongolia;4
Judo/Netherlands;12
Judo/North Korea;6
Judo/Portugal;1
Judo/Romania;4
Judo/Russia;13
Judo/Slovakia;1
Judo/Slovenia;3
Judo/South Korea;15
Judo/Spain;1
Judo/Switzerland;1
Judo/Tajikistan;1
Judo/Turkey;1
Judo/Ukraine;3
Judo/United States;4
Judo/Uzbekistan;3
Luge/Austria;6
Luge/Germany;17
Luge/Italy;5
Luge/Latvia;3
Luge/Russia;1
Luge/United States;4
Modern Pentathlon/Belarus;1
Modern Pentathlon/Brazil;1
Modern Pentathlon/China;1
Modern Pentathlon/Czech Republic;2
Modern Pentathlon/Germany;1
Modern Pentathlon/Great Britain;5
Modern Pentathlon/Hungary;3
Modern Pentathlon/Latvia;1
Modern Pentathlon/Lithuania;4
Modern Pentathlon/Russia;3
Modern Pentathlon/Ukraine;1
Modern Pentathlon/United States;1
Nordic Combined/Austria;17
Nordic Combined/Finland;11
Nordic Combined/France;1
Nordic Combined/Germany;15
Nordic Combined/Italy;1
Nordic Combined/Norway;2
Nordic Combined/United States;7
Rhythmic Gymnastics/Belarus;21
Rhythmic Gymnastics/Bulgaria;6
Rhythmic Gymnastics/China;6
Rhythmic Gymnastics/Greece;6
Rhythmic Gymnastics/Italy;12
Rhythmic Gymnastics/Russia;31
Rhythmic Gymnastics/Ukraine;2
Rowing/Australia;61
Rowing/Belarus;7
Rowing/Bulgaria;4
Rowing/Canada;48
Rowing/China;8
Rowing/Croatia;15
Rowing/Czech Republic;7
Rowing/Denmark;21
Rowing/Estonia;3
Rowing/Finland;2
Rowing/France;22
Rowing/Germany;46
Rowing/Great Britain;80
Rowing/Greece;6
Rowing/Italy;28
Rowing/Lithuania;2
Rowing/Netherlands;55
Rowing/New Zealand;17
Rowing/Norway;4
Rowing/Poland;14
Rowing/Romania;37
Rowing/Russia;8
Rowing/Slovenia;6
Rowing/South Africa;6
Rowing/Switzerland;1
Rowing/Ukraine;8
Rowing/United States;60
Sailing/Argentina;10
Sailing/Australia;21
Sailing/Austria;6
Sailing/Belgium;1
Sailing/Brazil;12
Sailing/Canada;2
Sailing/China;4
Sailing/Cyprus;1
Sailing/Czech Republic;1
Sailing/Denmark;12
Sailing/Finland;6
Sailing/France;8
Sailing/Germany;8
Sailing/Great Britain;34
Sailing/Greece;6
Sailing/Israel;2
Sailing/Italy;5
Sailing/Japan;2
Sailing/Lithuania;1
Sailing/Netherlands;10
Sailing/New Zealand;7
Sailing/Norway;4
Sailing/Poland;3
Sailing/Slovenia;2
Sailing/Spain;13
Sailing/Sweden;8
Sailing/Ukraine;7
Sailing/United States;14
Shooting/Australia;6
Shooting/Austria;1
Shooting/Azerbaijan;3
Shooting/Belarus;6
Shooting/Belgium;1
Shooting/Bulgaria;4
Shooting/China;32
Shooting/Croatia;2
Shooting/Cuba;3
Shooting/Czech Republic;8
Shooting/Denmark;2
Shooting/Finland;4
Shooting/France;5
Shooting/Georgia;1
Shooting/Germany;7
Shooting/Great Britain;3
Shooting/Hungary;2
Shooting/India;4
Shooting/Italy;13
Shooting/Kuwait;2
Shooting/Lithuania;1
Shooting/Moldova;1
Shooting/Mongolia;1
Shooting/North Korea;1
Shooting/Norway;2
Shooting/Poland;2
Shooting/Qatar;1
Shooting/Romania;2
Shooting/Russia;21
Shooting/Serbia;2
Shooting/Serbia and Montenegro;2
Shooting/Slovakia;4
Shooting/Slovenia;3
Shooting/South Korea;11
Shooting/Spain;1
Shooting/Sweden;3
Shooting/Switzerland;1
Shooting/Ukraine;7
Shooting/United Arab Emirates;1
Shooting/United States;16
Short-Track Speed Skating/Australia;1
Short-Track Speed Skating/Bulgaria;3
Short-Track Speed Skating/Canada;38
Short-Track Speed Skating/China;26
Short-Track Speed Skating/Italy;10
Short-Track Speed Skating/South Korea;37
Short-Track Speed Skating/United States;23
Skeleton/Austria;1
Skeleton/Canada;4
Skeleton/Germany;2
Skeleton/Great Britain;3
